"Year","prop","meanMIC","beta0mean","beta0X25","beta0X975"
"2015",0.028169014084507,2.91304347826087,2.37195780334333,2.3034409981992,2.45859656589187
"2016",0.0875912408759124,2.92,2.36815561321834,2.29080072006171,2.47115143248212
"2017",0.0666666666666667,2.92857142857143,2.40872426822488,2.33085611622754,2.50273460450421
"2018",0.0763358778625954,2.99173553719008,2.49526399509087,2.41971881164361,2.61010711556581
"2019",0.0891089108910891,2.93478260869565,2.4235547163424,2.30321652754275,2.50835317952366
"2020",0,3,2.52310340272776,1.71528188183899,3.18926721217162
"2022",0.185185185185185,2.84848484848485,2.3128107964615,2.22994697985085,2.42489557804663
"2023",0.152542372881356,2.9,2.37534897172312,2.25612378052645,2.50840492549719
