"","yearVec","beta0mean","beta0X25","beta0X975","beta1mean","beta1X25","beta1X975","mu0mean","mu0X25","mu0X975","ga0mean","ga0X25","ga0X975","ga1mean","ga1X25","ga1X975","pmean","pX25","pX975"
"1",2015,-2.92635925667753,-3.7824716547305,-2.15806024505135,11.7989872357608,1.74269201957286,47.8591103148564,-4.60446725705082,-7.71423807516913,-0.407943330441676,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00294219745759715,9.95647048216186e-07,0.00816829125069731
"2",2016,-3.52743809230975,-4.15217448120272,-2.73570367072918,9.61146272362878,2.00309448386913,15.7908194008472,-4.37227563999779,-7.39788004927296,-0.663255594859035,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00653243199704191,0.00132804318035588,0.0207242083356845
"3",2017,-5.04809886346407,-6.24004279616728,-2.54747729874562,11.0885071987881,1.36883933653268,48.4780104915741,-4.14008402294477,-7.74808996880854,-0.823504232637505,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00325280686675166,6.75586045816287e-06,0.00787445616318974
"4",2018,-3.8996816392405,-4.71747959018082,-2.20324729591871,10.5256711335258,1.4148249029158,34.8594123844245,-3.90789240589174,-7.36598197596547,-0.840006759610822,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00309219645855665,3.31961499644323e-07,0.00862500050785396
"5",2019,-4.58279882311616,-6.07942633031534,-2.05733145863531,9.92464151068459,2.00392893019421,15.6928486157044,-3.67570078883871,-7.37020256140578,-0.58988803580871,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00671681427701851,0.000239128851283288,0.0336156066775078
"6",2020,-3.33155290842697,-6.73670894759857,-0.637712830097356,11.0290305610318,1.16092524302713,44.2477176342563,-3.44350917178569,-7.65949954171678,-0.00445264039864349,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00594669645061695,2.20428254935823e-05,0.0390776208509182
"7",2022,-4.46205148803602,-5.66425559438419,-2.90099489426192,10.9293988172198,0.308830480695742,41.0866770413184,-3.21131755473266,-8.1461039244359,0.604919530920663,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00355245270978647,4.56760532114885e-05,0.00939569599080149
"8",2023,-2.75364258082009,-5.00442321996019,-1.60924242941669,11.6122858967931,1.11510398170028,52.6505867013918,-2.97912593767964,-8.94377324100675,1.37740969720714,-4.83665887410384,-8.418055965174,-0.459573481024168,0.232191617053026,-0.749509983367562,0.995476305061829,0.00428861177418151,1.36998275050199e-06,0.0137213531186397
