"","yearVec","beta0mean","beta0X25","beta0X975","beta1mean","beta1X25","beta1X975","mu0mean","mu0X25","mu0X975","ga0mean","ga0X25","ga0X975","ga1mean","ga1X25","ga1X975","pmean","pX25","pX975"
"1",2003,1.78588216646459,1.64065671642451,1.94023931321879,5.69046586229395,4.74945694424417,7.06121878264152,1.86983122884008,1.55158514526394,2.27294075548033,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0156463936011283,1.15870119673434e-06,0.0514245974560521
"2",2004,1.82921966580699,1.67534839570925,1.98889056250917,5.92127600072677,5.02331041050033,6.83396804682447,1.8864248611634,1.59088023468669,2.25578652383889,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0284141880473518,0.00481386958059721,0.0631802408785335
"3",2005,1.70777010125416,1.56893956663535,1.87478902318153,5.65629563238606,4.51845374791331,7.10082458352344,1.90301849348672,1.58758962283328,2.23379853769781,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0144093999520231,8.30407271754973e-09,0.0454204877538124
"4",2006,1.65790637775868,1.57161844695086,1.74375396425469,5.44241968177666,4.98805264070092,6.05853599053957,1.91961212581004,1.62447790502634,2.26127893665943,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0251514030743931,0.0060117861334491,0.0518960003004172
"5",2007,1.84476462589946,1.73801042611437,1.95042031289669,6.0643762882769,5.01389468156524,7.45677304645838,1.93620575813336,1.66380551859144,2.29340130401277,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0222792862641162,0.00298398164876279,0.0605814133362926
"6",2008,2.037874280001,1.927350000218,2.1388436014416,5.44236289953369,5.08125944558259,5.93158864498723,1.95279939045668,1.70313313215653,2.29932944894296,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0483406091422344,0.0219036093286851,0.0985474280452355
"7",2009,1.83560665843985,1.70624284434145,1.96391847942093,5.63377074213125,5.24125080651108,5.99499203255662,1.96939302278,1.68740638170473,2.30525759387316,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0614607100157313,0.0283739622176145,0.120275091273835
"8",2010,2.12993848986139,2.02985290243776,2.23815645651409,6.09931277227678,5.01626176429988,7.80818127558151,1.98598665510332,1.64977201608696,2.310765829658,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.016742057775445,0.00320764497548208,0.0329420686912238
"9",2011,1.91790623952993,1.81602444190745,2.0223615922734,5.999937151924,4.92762051913548,7.31925405577887,2.00258028742664,1.65265782746303,2.34419094835406,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0209388701000395,0.00407286361575377,0.0385754268802049
"10",2012,1.92597232950132,1.85260758012461,2.00634298679701,5.69366633232168,4.67726030179079,7.06394730560972,2.01917391974996,1.66573260734387,2.3918351941335,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.012976972513189,5.6146322837995e-07,0.032978688974113
"11",2013,2.18966495748777,2.10788054505639,2.27490832868144,5.8452344375868,5.04487027844926,6.64710443955984,2.03576755207328,1.67761695289237,2.41479679689628,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0256724447341866,0.0101072081945601,0.0503871766149741
"12",2014,2.12723533366899,2.0353875451075,2.21495769212117,5.77897863432906,5.3646216732977,6.35358485547704,2.0523611843966,1.68825580251461,2.42739824573622,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0329531349978159,0.0166881820678028,0.0665947307191128
"13",2015,2.18743768909831,2.10869286158975,2.26914495494355,5.53965164512057,5.05582841210876,6.54796972688018,2.06895481671992,1.68642389663708,2.43985890988177,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0467030428369404,0.0225861959168255,0.0907766106804506
"14",2016,2.08693803502663,1.98566328277216,2.17134589523046,5.467481115157,5.09881239984197,5.91054939153388,2.08554844904324,1.65401921286485,2.45960540224616,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0364175064963395,0.0165089263332144,0.0737001660336908
"15",2017,2.05101851806968,1.95861996703182,2.14690156115093,5.13316050436713,4.9913087518319,5.32647515596739,2.10214208136656,1.62181367791287,2.50304916613575,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0433868014407691,0.0189537110298775,0.0848470304843388
"16",2018,2.2294804721063,2.14894127789756,2.33712306670374,5.96555673701137,5.09042268757584,7.06734962239261,2.11873571368988,1.59123472606171,2.54649293002534,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0177900303291671,0.00338656768091068,0.0384515893083784
"17",2019,2.24191470033014,2.14768291063623,2.33324508152949,5.97218991783918,5.04364619565623,7.00894010776983,2.1353293460132,1.56084740209319,2.58993669391493,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0345902986344879,0.00914079533125039,0.07608138249575
"18",2021,2.2718282424244,1.61275276676771,2.95040650912219,5.59542656104289,4.5476478295058,6.88572377175109,2.15192297833652,1.53046007812468,2.60825112514891,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0190447394468303,2.75391115001514e-08,0.0558000534600192
"19",2022,2.27545371916722,2.15532286435906,2.40781612228679,5.5888991150498,5.08012076268021,6.24457016464428,2.16851661065984,1.50007275415617,2.62416740896991,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.0619542155982896,0.0217980140626129,0.126203907876048
"20",2023,2.19286076199504,2.04762606193007,2.34517507846356,5.17855898899654,5.03142095878782,5.38227977473213,2.18511024298316,1.46968543018765,2.65337886243723,1.85323759651676,1.5378948405039,2.28568325541621,0.0165936323233203,-0.0230091327787222,0.0472776523630322,0.1086405342718,0.0502803559920125,0.222179051858612
