"","yearVec","beta0mean","beta0X25","beta0X975","beta1mean","beta1X25","beta1X975","mu0mean","mu0X25","mu0X975","ga0mean","ga0X25","ga0X975","ga1mean","ga1X25","ga1X975","pmean","pX25","pX975"
"1",2002,-1.32985275255803,-1.47927206150602,-1.18146907637866,3.66019624959912,2.99620671415867,4.68155667975894,-1.2571602624575,-1.5449802103815,-0.944922068861659,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.034824935339184,0.0234310804894233,0.0431822776673356
"2",2003,-1.18246514208967,-1.3452106172331,-1.03546370648126,3.34895048736181,3.0084483893277,4.15514048504086,-1.21160806717269,-1.48910149218214,-0.911804237677197,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0355654704157845,0.022197833356098,0.0501418474185884
"3",2004,-1.3867862650178,-1.55830210027695,-1.23485299652771,3.74945576648195,3.01265584449857,4.67015421570561,-1.16605587188788,-1.45939196134552,-0.873345764997924,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0346881107246451,0.0254075573335886,0.0432193012898609
"4",2005,-1.28424606066072,-1.45754087472433,-1.11086265033734,3.49095376171146,3.10617596963938,4.16855150076963,-1.12050367660307,-1.38864308895638,-0.827483869374983,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0347901644561496,0.023578432531849,0.0427972740214105
"5",2006,-1.18046072496672,-1.27730752796023,-1.09907485724273,3.63424222120226,3.02736420899059,4.26425934946498,-1.07495148131825,-1.34714039045299,-0.785963389844237,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0348001713284663,0.0212590837091873,0.0452014875422409
"6",2007,-0.841466860474009,-0.950926148148594,-0.734010557322751,3.23564647266356,3.02115153096758,3.75825361167746,-1.02939928603344,-1.31569865050637,-0.744781317483607,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0353833636588309,0.0245966951479081,0.047447949598135
"7",2008,-0.905988071235763,-1.00280231922723,-0.800572337190124,3.30763612463552,3.03434378612591,3.85506935145887,-0.983847090748628,-1.28530154824512,-0.6825191870123,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0354463280083415,0.0269013414063618,0.0494501586651548
"8",2009,-0.749598214688893,-0.878551592501978,-0.646559441099867,3.35485313253217,3.03026803415579,3.80886006842977,-0.938294895463816,-1.25269400099425,-0.599051005860025,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0347499018298939,0.0181769966445339,0.045036049446636
"9",2010,-0.848884053309101,-0.949083360172473,-0.757359607061622,3.45947863591137,3.02075502818074,4.11860972117221,-0.892742700179003,-1.22171412304486,-0.542340746509452,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0338673324599385,0.0176743496166311,0.0441123282244919
"10",2011,-0.94197964389263,-1.05035172570175,-0.846786651565204,3.46109902708924,3.04031180376451,3.9798243655996,-0.84719050489419,-1.21306368061727,-0.499011426402863,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0355351193643956,0.0268813233314718,0.0510407018460823
"11",2012,-0.746017192838128,-0.836471821983999,-0.662212690918626,3.62263579915799,3.00971377383182,4.25635800542245,-0.801638309609378,-1.20959734123913,-0.434002625989226,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.03315264693278,0.0158050999795653,0.0418352213511696
"12",2013,-0.542966855245074,-0.629265028841876,-0.460649159074603,3.31637502597792,3.01667143961816,3.97122338313569,-0.756086114324565,-1.20259411353132,-0.355430979486498,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0333588534248591,0.01349019434757,0.0403742014002135
"13",2014,-0.839167952597665,-0.927407493358091,-0.757820172274909,3.56825120636662,3.19532667307835,3.80038763206767,-0.710533919039753,-1.16605973239634,-0.259444254589456,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0343157925882865,0.0254796696343476,0.0436658912040279
"14",2015,-0.670178655350357,-0.747215941931517,-0.590854836643172,3.03989044427196,2.99478017690581,3.13488534204973,-0.66498172375494,-1.13429545732312,-0.169741408896139,-1.30271245774232,-1.60407209364379,-0.986002347208504,0.0455521952848126,0.00652931901019309,0.0783978752733134,0.0367757285987498,0.0300915154959279,0.0570367224091668
